service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
service_1,1,1,1,1,1,1,1,20241005,20241121
service_2,0,0,0,0,0,1,1,20241005,20241117
service_3,0,0,0,0,0,1,1,20241005,20241117
service_4,1,1,1,1,1,1,0,20241005,20241121
service_5,0,0,0,0,0,1,0,20241005,20241116
service_6,0,0,0,0,0,0,0,20241005,20241103
service_7,0,0,0,0,0,0,0,20241005,20241119
service_8,0,0,0,0,0,0,0,20241005,20241114
service_9,0,0,0,0,0,0,0,20241005,20241117
service_10,0,0,0,0,0,0,0,20241005,20241107
service_11,0,0,0,0,0,0,0,20241005,20241114
service_12,0,0,0,0,0,1,1,20241005,20241013
service_13,1,1,1,1,1,1,1,20241005,20241014
service_14,1,1,1,1,1,1,0,20241005,20241121
service_15,1,1,1,1,1,1,1,20241005,20241121
service_16,1,1,1,1,1,1,0,20241005,20241121
service_17,0,0,0,0,1,0,0,20241005,20241101
service_18,0,0,0,0,1,0,0,20241005,20241105
service_19,0,0,0,0,0,0,0,20241005,20241107
service_20,1,1,0,0,1,1,0,20241005,20241119
service_21,1,0,0,0,1,1,0,20241005,20241118
service_22,0,0,0,0,0,1,0,20241005,20241116
service_23,1,1,1,1,1,1,1,20241005,20241102
service_24,1,1,1,1,1,1,1,20241005,20241104
service_25,1,1,1,1,1,1,0,20241005,20241121
service_26,0,0,0,0,0,1,0,20241005,20241116
service_27,0,0,0,0,0,1,1,20241005,20241117
service_28,0,0,0,0,0,1,0,20241005,20241121
service_29,0,0,0,1,0,1,0,20241005,20241102
service_30,0,0,0,1,1,1,0,20241005,20241102
service_31,0,0,0,0,0,0,0,20241006,20241107
service_32,0,0,0,0,0,0,1,20241006,20241023
service_33,0,0,0,0,0,0,0,20241006,20241102
service_34,0,0,0,0,1,1,0,20241006,20241022
service_35,0,0,0,0,0,0,1,20241006,20241107
service_36,0,0,0,0,0,0,0,20241006,20241120
service_37,0,0,0,0,0,0,1,20241006,20241116
service_38,0,0,0,0,0,0,0,20241006,20241116
service_39,0,0,0,0,0,0,0,20241006,20241104
service_40,0,0,0,0,0,0,0,20241006,20241109
service_41,1,0,0,0,1,0,1,20241006,20241118
service_42,1,0,0,1,1,0,1,20241006,20241121
service_43,0,0,0,0,0,0,1,20241006,20241117
service_44,1,1,1,1,1,0,1,20241006,20241121
service_45,0,0,0,1,0,0,1,20241006,20241117
service_46,0,0,0,0,0,0,1,20241006,20241027
service_47,1,1,1,1,1,0,0,20241007,20241121
service_48,1,1,1,1,1,0,0,20241007,20241121
service_49,0,0,0,0,0,0,0,20241007,20241109
service_50,0,0,0,0,0,0,0,20241007,20241107
service_51,1,0,1,0,0,0,0,20241007,20241009
service_52,1,0,0,0,0,0,0,20241007,20241007
service_53,0,0,0,0,0,0,0,20241007,20241120
service_54,0,0,0,0,0,0,0,20241007,20241120
service_55,1,1,0,1,1,0,0,20241007,20241014
service_56,1,1,1,1,1,0,0,20241007,20241121
service_57,1,1,1,1,1,0,0,20241007,20241101
service_58,1,1,1,1,1,0,0,20241007,20241121
service_59,1,1,1,1,1,0,0,20241007,20241104
service_60,1,1,1,1,1,0,0,20241007,20241104
service_61,1,1,1,1,1,0,0,20241007,20241103
service_62,1,1,1,1,1,0,0,20241007,20241121
service_63,1,1,1,0,0,0,0,20241007,20241030
service_64,1,1,1,1,1,0,0,20241008,20241121
service_65,0,1,0,0,0,0,0,20241008,20241105
service_66,1,1,0,1,0,0,0,20241008,20241021
service_67,0,0,0,0,0,0,0,20241008,20241121
service_68,0,0,0,0,0,0,0,20241008,20241118
service_69,1,1,0,0,0,0,0,20241008,20241021
service_70,0,1,0,0,0,0,0,20241008,20241022
service_71,0,0,0,0,0,0,0,20241008,20241107
service_72,0,0,0,0,0,0,0,20241008,20241121
service_73,0,0,0,0,0,0,0,20241009,20241107
service_74,0,0,0,0,0,0,0,20241009,20241105
service_75,1,0,1,0,0,0,0,20241009,20241021
service_76,0,0,0,0,0,0,0,20241009,20241108
service_77,0,0,0,0,0,0,0,20241009,20241110
service_78,0,0,1,0,0,0,0,20241009,20241009
service_79,0,0,1,1,0,0,0,20241009,20241121
service_80,0,0,1,0,0,0,0,20241009,20241120
service_81,0,0,0,0,0,0,0,20241010,20241108
service_82,0,0,0,1,0,0,0,20241010,20241010
service_83,0,0,0,0,0,0,0,20241010,20241108
service_84,0,0,0,1,0,0,0,20241010,20241024
service_85,0,0,0,0,0,0,0,20241010,20241112
service_86,0,0,0,1,0,0,0,20241010,20241031
service_87,0,0,0,0,0,0,0,20241011,20241110
service_88,0,0,0,0,0,0,0,20241011,20241121
service_89,0,0,0,0,0,0,0,20241011,20241111
service_90,0,0,0,0,1,1,0,20241011,20241012
