service_id,date,exception_type
service_1,20241026,2
service_1,20241027,2
service_1,20241102,2
service_1,20241103,2
service_3,20241014,2
service_5,20240918,1
service_5,20241102,1
service_5,20241104,1
service_6,20240918,1
service_6,20241002,1
service_6,20241102,1
service_6,20241104,1
service_7,20240918,1
service_7,20241002,1
service_7,20241006,1
service_7,20241102,1
service_8,20240918,1
service_8,20241003,1
service_9,20240918,1
service_9,20240921,1
service_9,20241008,1
service_9,20241018,1
service_9,20241022,1
service_9,20241102,1
service_9,20241104,1
service_10,20240918,1
service_10,20240923,2
service_10,20240928,2
service_10,20241003,1
service_13,20240918,1
service_13,20241002,1
service_13,20241016,1
service_13,20241104,1
service_14,20240918,1
service_14,20241005,1
service_14,20241008,1
service_14,20241018,1
service_14,20241101,1
service_15,20240918,1
service_15,20240919,1
service_15,20241002,1
service_15,20241016,1
service_15,20241104,1
service_17,20241017,1
service_17,20241024,1
service_17,20241031,1
service_21,20241103,2
service_22,20241103,2
service_23,20241103,1
service_24,20241103,1
service_25,20241103,1
service_27,20240919,1
service_27,20240920,1
service_27,20240930,1
service_27,20241016,1
service_27,20241018,1
service_28,20240919,1
service_28,20241019,1
service_28,20241021,1
service_29,20240919,1
service_29,20240929,1
service_29,20241004,1
service_29,20241019,1
service_29,20241028,1
service_30,20240919,1
service_30,20241021,1
service_30,20241030,1
service_31,20240919,1
service_31,20240922,1
service_31,20241023,1
service_32,20240919,1
service_32,20241004,1
service_32,20241021,1
service_33,20240919,1
service_33,20240929,1
service_33,20241028,1
service_34,20240919,1
service_34,20241004,1
service_34,20241015,1
service_34,20241019,1
service_34,20241029,1
service_34,20241102,1
service_35,20240919,1
service_35,20241004,1
service_35,20241019,1
service_35,20241021,1
service_35,20241102,1
service_36,20240919,1
service_36,20240923,1
service_36,20241004,1
service_36,20241019,1
service_37,20241017,2
service_37,20241024,2
service_37,20241031,2
service_38,20241015,2
service_38,20241017,2
service_38,20241022,2
service_38,20241024,2
service_38,20241029,2
service_38,20241031,2
service_44,20240920,1
service_44,20241006,1
service_44,20241020,1
service_44,20241023,1
service_45,20240920,1
service_45,20241001,1
service_45,20241005,1
service_45,20241017,1
service_45,20241018,1
service_45,20241101,1
service_45,20241103,1
service_47,20240920,1
service_47,20241023,1
service_48,20240920,1
service_48,20241001,1
service_48,20241005,1
service_48,20241017,1
service_48,20241103,1
service_49,20240920,1
service_49,20241008,1
service_49,20241022,1
service_50,20240920,1
service_50,20240930,1
service_50,20241005,1
service_50,20241018,1
service_50,20241101,1
service_51,20240920,1
service_51,20241002,1
service_51,20241017,1
service_51,20241031,1
service_53,20240920,1
service_53,20241022,1
service_55,20241014,1
service_56,20241014,1
service_57,20240921,1
service_57,20241008,1
service_57,20241018,1
service_57,20241022,1
service_59,20240923,2
service_59,20240926,2
service_59,20240928,2
service_60,20240925,2
service_60,20240928,2
service_60,20240930,2
service_61,20240921,1
service_61,20241007,1
service_61,20241009,1
service_64,20240921,1
service_64,20240924,2
service_64,20241007,1
service_65,20240921,1
service_65,20241009,1
service_66,20240921,1
service_66,20241010,1
service_66,20241020,1
service_67,20240921,1
service_67,20241008,1
service_69,20241103,1
service_71,20240922,1
service_71,20241005,1
service_71,20241007,1
service_71,20241020,1
