trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,timepoint,pickup_booking_rule_id
202508_h-harbour-chevery_CHE_HHB_040000_regular,04:00:00,04:00:00,CHE,1,0,1,1,
202508_h-harbour-chevery_CHE_HHB_040000_regular,04:30:00,04:30:00,HHB,2,1,0,1,
202508_h-harbour-chevery_CHE_HHB_063000_regular,06:30:00,06:30:00,CHE,1,0,1,1,
202508_h-harbour-chevery_CHE_HHB_063000_regular,07:00:00,07:00:00,HHB,2,1,0,1,
202508_h-harbour-chevery_CHE_HHB_073000_regular,07:30:00,07:30:00,CHE,1,0,1,1,
202508_h-harbour-chevery_CHE_HHB_073000_regular,08:00:00,08:00:00,HHB,2,1,0,1,
202508_h-harbour-chevery_CHE_HHB_080000_regular,08:00:00,08:00:00,CHE,1,0,1,1,
202508_h-harbour-chevery_CHE_HHB_080000_regular,08:30:00,08:30:00,HHB,2,1,0,1,
202508_h-harbour-chevery_CHE_HHB_093000_regular,09:30:00,09:30:00,CHE,1,0,1,1,
202508_h-harbour-chevery_CHE_HHB_093000_regular,10:00:00,10:00:00,HHB,2,1,0,1,
202508_h-harbour-chevery_CHE_HHB_101500_regular,10:15:00,10:15:00,CHE,1,0,1,1,
202508_h-harbour-chevery_CHE_HHB_101500_regular,10:45:00,10:45:00,HHB,2,1,0,1,
202508_h-harbour-chevery_CHE_HHB_131500_regular,13:15:00,13:15:00,CHE,1,0,1,1,
202508_h-harbour-chevery_CHE_HHB_131500_regular,13:45:00,13:45:00,HHB,2,1,0,1,
202508_h-harbour-chevery_CHE_HHB_153000_regular,15:30:00,15:30:00,CHE,1,0,1,1,
202508_h-harbour-chevery_CHE_HHB_153000_regular,16:00:00,16:00:00,HHB,2,1,0,1,
202508_h-harbour-chevery_CHE_HHB_163000_regular,16:30:00,16:30:00,CHE,1,0,1,1,
202508_h-harbour-chevery_CHE_HHB_163000_regular,17:00:00,17:00:00,HHB,2,1,0,1,
202508_h-harbour-chevery_CHE_HHB_183000_regular,18:30:00,18:30:00,CHE,1,0,1,1,
202508_h-harbour-chevery_CHE_HHB_183000_regular,19:00:00,19:00:00,HHB,2,1,0,1,
202508_h-harbour-chevery_CHE_HHB_280000_regular,28:00:00,28:00:00,CHE,1,0,1,1,
202508_h-harbour-chevery_CHE_HHB_280000_regular,28:30:00,28:30:00,HHB,2,1,0,1,
202508_h-harbour-chevery_HHB_CHE_050000_regular,05:00:00,05:00:00,HHB,1,0,1,1,
202508_h-harbour-chevery_HHB_CHE_050000_regular,05:30:00,05:30:00,CHE,2,1,0,1,
202508_h-harbour-chevery_HHB_CHE_060000_regular,06:00:00,06:00:00,HHB,1,0,1,1,
202508_h-harbour-chevery_HHB_CHE_060000_regular,06:30:00,06:30:00,CHE,2,1,0,1,
202508_h-harbour-chevery_HHB_CHE_070000_regular,07:00:00,07:00:00,HHB,1,0,1,1,
202508_h-harbour-chevery_HHB_CHE_070000_regular,07:30:00,07:30:00,CHE,2,1,0,1,
202508_h-harbour-chevery_HHB_CHE_080000_regular,08:00:00,08:00:00,HHB,1,0,1,1,
202508_h-harbour-chevery_HHB_CHE_080000_regular,08:30:00,08:30:00,CHE,2,1,0,1,
202508_h-harbour-chevery_HHB_CHE_110000_regular,11:00:00,11:00:00,HHB,1,0,1,1,
202508_h-harbour-chevery_HHB_CHE_110000_regular,11:30:00,11:30:00,CHE,2,1,0,1,
